CO_IES|NO_IES|SGL_IES|CO_MANTENEDORA|NO_MANTENEDORA|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_MUNICIPIO_IES|NO_MUNICIPIO_IES|CO_UF_IES|SGL_UF_IES|NO_REGIAO_IES|IN_CAPITAL_IES|QT_TEC_TOTAL|QT_TEC_FUND_INCOMP_FEM|QT_TEC_FUND_INCOMP_MASC|QT_TEC_FUND_COMP_FEM|QT_TEC_FUND_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_REFERENTE|VL_RECEITA_PROPRIA|VL_TRANSFERENCIA|VL_OUTRA_RECEITA|VL_DES_PESSOAL_REM_DOCENTE|VL_DES_PESSOAL_REM_TECNICO|VL_DES_PESSOAL_ENCARGO|VL_DES_CUSTEIO|VL_DES_INVESTIMENTO|VL_DES_PESQUISA|VL_DES_OUTRAS
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT|1|FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO|1|Pública Federal|1|Universidade|5103403|Cuiabá|51|MT|Centro-Oeste|1|1603|0|0|23|92|192|231|191|159|314|236|92|52|13|8|1|1|2|6107980.89|688330081.40|0.00|216729315.19|102564040.35|68512668.10|115121896.00|26075024.00|14149111.00|151286007.65
2|UNIVERSIDADE DE BRASÍLIA|UNB|2|FUNDACAO UNIVERSIDADE DE BRASILIA|1|Pública Federal|1|Universidade|5300108|Brasília|53|DF|Centro-Oeste|1|2623|12|52|28|76|312|350|417|383|422|349|108|74|19|21|1|1|2|379730416.98|1829352922.32|12523105.45|577862562.46|385241708.30|196781655.18|416940932.89|45465949.40|51679547.80|193856085.39
3|UNIVERSIDADE FEDERAL DE SERGIPE|UFS|3|FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE|1|Pública Federal|1|Universidade|2806701|São Cristóvão|28|SE|Nordeste|0|1059|5|59|5|25|108|210|200|191|99|64|56|34|0|3|1|1|2|4734825.61|547727734.17|1019509.98|196965678.18|103593078.16|62791202.79|84152002.93|67242163.70|1659663.72|1831173.51
4|UNIVERSIDADE FEDERAL DO AMAZONAS|UFAM|4|FUNDACAO UNIVERSIDADE DO AMAZONAS|1|Pública Federal|1|Universidade|1302603|Manaus|13|AM|Norte|1|1711|9|11|3|22|200|227|215|191|397|276|90|49|9|12|1|1|1|15876633.00|51489086.96|639828098.00|286600256.82|1.00|167580497.44|143379022.92|17028551.66|0.00|0.00
6|UNIVERSIDADE FEDERAL DE OURO PRETO|UFOP|6|UNIVERSIDADE FEDERAL DE OURO PRETO|1|Pública Federal|1|Universidade|3146107|Ouro Preto|31|MG|Sudeste|0|793|15|75|5|42|51|135|57|90|130|107|45|29|8|4|1|1|2|3257012.30|468309766.23|0.00|111396027.81|53073834.15|30900867.80|139611140.40|21740772.74|100324501.89|14519633.74
10|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ|PUCPR|10|ASSOCIACAO PARANAENSE DE CULTURA - APC|5|Privada sem fins lucrativos|1|Universidade|4106902|Curitiba|41|PR|Sul|1|833|6|17|2|7|197|158|220|97|80|28|5|11|5|0|1|1|1|543715526.17|0.00|3887691.72|156217190.98|36643538.62|97010354.10|118938299.32|128499894.83|10293940.04|0.00
11|UNIVERSIDADE CATÓLICA DE PERNAMBUCO|UNICAP|11|CENTRO DE EDUCACAO TECNICA E CULTURAL|5|Privada sem fins lucrativos|1|Universidade|2611606|Recife|26|PE|Nordeste|1|450|2|14|0|10|73|90|97|82|43|31|1|6|0|1|1|1|2|102454000.00|0.00|27410000.00|50536000.00|25174000.00|26872000.00|25631000.00|6490000.00|1601000.00|0.00
13|UNIVERSIDADE DE CAXIAS DO SUL|UCS|13|FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL|5|Privada sem fins lucrativos|1|Universidade|4305108|Caxias do Sul|43|RS|Sul|0|990|11|19|15|27|258|183|240|74|90|34|18|16|3|2|1|1|2|298374087.00|0.00|31815678.00|102821672.00|36126533.00|40868958.00|125501040.00|12882060.00|12711242.00|0.00
14|UNIVERSIDADE DO VALE DO RIO DOS SINOS|UNISINOS|14|ASSOCIACAO ANTONIO VIEIRA|5|Privada sem fins lucrativos|1|Universidade|4318705|São Leopoldo|43|RS|Sul|0|1089|5|5|10|6|383|306|166|62|64|29|21|21|6|5|1|1|2|364440190.00|2504891.00|44275056.00|108416594.00|30094656.00|41424985.00|83285505.00|16757310.00|5404898.00|10164936.00
15|UNIVERSIDADE CATÓLICA DE PETRÓPOLIS|UCP|15|MITRA DIOCESANA DE PETROPOLIS|5|Privada sem fins lucrativos|1|Universidade|3303906|Petrópolis|33|RJ|Sudeste|0|213|3|34|6|23|33|50|32|22|4|1|4|1|0|0|1|0|2|34384730.44|0.00|2630560.77|15821874.85|6720274.57|2596312.92|4783867.70|43642.68|34133.82|4146495.27
18|UNIVERSIDADE CATÓLICA DE PELOTAS|UCPEL|18|SOCIEDADE PELOTENSE DE ASSISTENCIA E CULTURA(SPAC)|5|Privada sem fins lucrativos|1|Universidade|4314407|Pelotas|43|RS|Sul|0|341|9|6|9|13|64|63|89|44|21|12|7|3|0|1|1|1|2|78941911.25|0.00|5797977.40|26027450.79|12539549.27|3834444.75|1662554.20|1475652.23|3644347.33|41602424.03
19|PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS|PUC-CAMPINAS|19|SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO|5|Privada sem fins lucrativos|1|Universidade|3509502|Campinas|35|SP|Sudeste|0|1724|199|181|58|63|325|339|287|171|53|35|6|6|1|0|1|1|2|227062368.78|3923447.18|28074207.31|79269353.48|40567017.70|49420223.26|34381020.74|18843000.00|6963160.34|19428292.79
20|UNIVERSIDADE DE PASSO FUNDO|UPF|20|FUNDACAO UNIVERSIDADE DE PASSO FUNDO|5|Privada sem fins lucrativos|1|Universidade|4314100|Passo Fundo|43|RS|Sul|0|1328|30|25|43|29|366|314|216|128|95|44|20|15|2|1|1|1|1|263980916.88|2787447.31|82465768.56|90313406.91|34363978.60|48785819.70|96088925.43|23906071.76|5461299.75|65777617.05
21|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL|PUCRS|21|UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA|5|Privada sem fins lucrativos|1|Universidade|4314902|Porto Alegre|43|RS|Sul|1|1836|27|20|78|55|472|666|240|157|38|29|21|21|6|6|1|1|1|390945004.92|8001545.13|154941688.18|111081596.72|65366712.98|96889748.59|99739237.39|26216083.04|55019625.58|121452366.93
22|UNIVERSIDADE PRESBITERIANA MACKENZIE|MACKENZIE|22|INSTITUTO PRESBITERIANO MACKENZIE|5|Privada sem fins lucrativos|1|Universidade|3550308|São Paulo|35|SP|Sudeste|1|1730|21|70|26|66|389|506|311|191|58|49|14|22|1|6|1|1|1|554248350.15|0.00|38808259.73|197717196.26|121392435.08|81814354.01|0.00|36429948.69|2789691.71|131406928.83
195|FACULDADE MORAES JÚNIOR - MACKENZIE RIO|FMJ - MACKENZIE RIO|22|INSTITUTO PRESBITERIANO MACKENZIE|5|Privada sem fins lucrativos|3|Faculdade|3304557|Rio de Janeiro|33|RJ|Sudeste|1|70|0|1|1|5|18|25|9|6|4|1|0|0|0|0|1|1|2|9581858.87|0.00|201737.65|4825529.23|2909200.46|2310361.67|0.00|675417.63|0.00|4085282.57
23|UNIVERSIDADE FEEVALE|FEEVALE|23|ASSOCIACAO PRO ENSINO SUPERIOR EM NOVO HAMBURGO|5|Privada sem fins lucrativos|1|Universidade|4313409|Novo Hamburgo|43|RS|Sul|0|856|13|3|16|13|293|210|115|71|66|31|18|6|1|0|1|1|2|159345776.35|0.00|49028139.60|37974132.55|26313103.72|23773873.34|52726512.85|19239531.94|8681981.67|0.00
24|UNIVERSIDADE ESTADUAL DE SANTA CRUZ|UESC|24|UNIVERSIDADE ESTADUAL DE SANTA CRUZ|2|Pública Estadual|1|Universidade|2913606|Ilhéus|29|BA|Nordeste|0|428|0|15|1|6|66|91|121|65|32|17|10|4|0|0|1|0|2|5989939.57|5640100.79|193346220.45|107308207.42|11997635.80|28950032.99|23925910.75|8436848.60|14987918.68|0.00
26|ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS|ENCE|26|FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE|1|Pública Federal|3|Faculdade|3304557|Rio de Janeiro|33|RJ|Sudeste|1|96|0|0|0|0|5|13|7|7|5|6|11|10|19|13|1|0|1|0.00|2216627209.29|18900874.00|1.00|1.00|1744727870.01|269021434.47|32908738.29|0.00|0.00
27|UNIVERSIDADE VALE DO RIO VERDE|UNINCOR|27|FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO|5|Privada sem fins lucrativos|1|Universidade|3169307|Três Corações|31|MG|Sudeste|0|342|20|17|19|18|61|29|67|23|22|21|25|15|5|0|1|1|1|26362835.90|0.00|311259.95|9632464.07|5657161.44|1465399.38|5810022.16|433268.07|180000.00|8808885.87
29|UNIVERSIDADE ESTADUAL DO CEARÁ|UECE|29|FUNDACAO UNIVERSIDADE ESTADUAL DO CEARA FUNECE|2|Pública Estadual|1|Universidade|2304400|Fortaleza|23|CE|Nordeste|1|873|31|91|31|38|186|187|128|96|31|29|8|11|3|3|1|0|2|8454098.13|216571786.82|0.00|104279932.13|26069983.04|44318971.16|36725154.95|8333830.84|13373087.52|387395.99
30|UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO|UNIFENAS|30|FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS|5|Privada sem fins lucrativos|1|Universidade|3101607|Alfenas|31|MG|Sudeste|0|786|47|148|33|79|126|110|91|83|38|21|6|3|0|1|1|1|1|144713343.90|120617.62|61492957.36|36340490.47|36210475.79|50109571.12|49514665.70|4408667.16|146934.74|30149878.11
31|CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG|UTRAMIG|31|FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS|2|Pública Estadual|3|Faculdade|3106200|Belo Horizonte|31|MG|Sudeste|1|322|0|0|8|1|22|26|163|84|4|3|5|6|0|0|0|0|2|193546.94|0.00|0.00|135958.29|153725.01|30745.02|0.00|0.00|0.00|0.00
32|UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL|UNCISAL|32|UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS - UNCISAL|2|Pública Estadual|1|Universidade|2704302|Maceió|27|AL|Nordeste|1|572|0|0|3|14|148|71|112|77|64|33|20|14|11|5|0|0|2|7484994.93|8346074.14|0.00|977026.34|733050.94|15089360.50|49889593.70|6591228.36|0.00|0.00
4025|FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO|FATECRP|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3549805|São José do Rio Preto|35|SP|Sudeste|0|14|0|0|0|0|1|0|3|4|5|1|0|0|0|0|1|1|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
34|FACULDADE DE TECNOLOGIA DE SÃO PAULO|FATEC-SP|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|121|5|2|2|1|51|19|29|12|0|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
4026|FACULDADE DE TECNOLOGIA ZONA LESTE|FATEC-ZL|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|21|0|2|2|0|4|3|5|4|1|0|0|0|0|0|0|1|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
33|FACULDADE DE TECNOLOGIA DE SOROCABA|FATEC SO|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3552205|Sorocaba|35|SP|Sudeste|0|45|2|3|1|2|9|6|17|3|2|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
1583|FACULDADE DE TECNOLOGIA DE INDAIATUBA|FATEC-ID|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3520509|Indaiatuba|35|SP|Sudeste|0|25|0|0|1|0|3|6|11|2|1|0|0|0|0|1|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
4022|FACULDADE DE TECNOLOGIA DE JUNDIAÍ|FATEC/JD|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3525904|Jundiaí|35|SP|Sudeste|0|16|0|0|0|0|3|1|4|4|3|0|0|0|1|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
4021|FACULDADE DE TECNOLOGIA DE GARÇA|FATECGA|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3516705|Garça|35|SP|Sudeste|0|18|0|0|0|0|1|1|7|6|1|1|0|0|1|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
967|FACULDADE DE TECNOLOGIA DE TAQUARITINGA|FATEC/TQ|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3553708|Taquaritinga|35|SP|Sudeste|0|30|1|1|0|0|6|5|7|9|1|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
4024|FACULDADE DE TECNOLOGIA DE MOCOCA|FATEC|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3530508|Mococa|35|SP|Sudeste|0|11|0|0|0|0|0|3|3|4|1|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
35|FACULDADE DE TECNOLOGIA DE AMERICANA|FATEC-AM|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3501608|Americana|35|SP|Sudeste|0|32|0|0|1|0|6|6|13|4|2|0|0|0|0|0|0|0|1|261930909.16|0.00|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
4020|FACULDADE DE TECNOLOGIA DE BOTUCATU|FATEC BT|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3507506|Botucatu|35|SP|Sudeste|0|18|0|0|0|0|3|3|6|5|1|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
37|FACULDADE DE TECNOLOGIA DE JAHU|FATEC-JAHU|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3525300|Jaú|35|SP|Sudeste|0|34|0|0|1|0|4|4|9|6|5|5|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
36|FACULDADE DE TECNOLOGIA RUBENS LARA|FATEC-BS|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3548500|Santos|35|SP|Sudeste|0|28|0|0|0|3|2|5|6|10|1|1|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
1584|FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ|FATEC GT|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3518404|Guaratinguetá|35|SP|Sudeste|0|15|0|0|0|0|0|3|4|4|4|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
4023|FACULDADE DE TECNOLOGIA DE MAUÁ|FATEC MAUÁ|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3529401|Mauá|35|SP|Sudeste|0|18|0|0|0|1|2|3|4|6|0|2|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
1874|FACULDADE DE TECNOLOGIA DE OURINHOS|FATEC|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3534708|Ourinhos|35|SP|Sudeste|0|31|0|1|0|0|5|11|6|5|1|2|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
5099|FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO|FATEC-SB|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3548708|São Bernardo do Campo|35|SP|Sudeste|0|16|0|0|0|0|3|0|6|7|0|0|0|0|0|0|0|0|1|261930909.16|0.00|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
4926|FACULDADE DE TECNOLOGIA DE PRAIA GRANDE|FATECPG|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3541000|Praia Grande|35|SP|Sudeste|0|11|0|0|0|0|1|0|6|2|1|1|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
5633|FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA||33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3507605|Bragança Paulista|35|SP|Sudeste|0|9|0|0|0|0|1|2|3|2|0|1|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
5627|FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE|FATEC|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3541406|Presidente Prudente|35|SP|Sudeste|0|14|0|0|0|0|1|1|4|4|2|1|0|0|1|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
18817|Faculdade de Tecnologia de São Roque|FATEC-SR|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3550605|São Roque|35|SP|Sudeste|0|3|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
18099|Faculdade de Tecnologia de Diadema Luigi Papaiz|FATEC DIADEMA|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3513801|Diadema|35|SP|Sudeste|0|7|0|0|0|0|3|1|1|0|1|0|0|0|0|1|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15682|Faculdade de Tecnologia de Piracicaba|Fatec Piracicaba|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3538709|Piracicaba|35|SP|Sudeste|0|12|0|0|0|0|2|3|2|5|0|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15746|Faculdade de Tecnologia do Ipiranga|FATECIPI|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|14|0|0|0|0|2|2|4|5|0|0|0|0|0|1|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
17953|Faculdade de Tecnologia de Pompeia - Shunji Nishimura|FATEC Pompeia|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3540002|Pompéia|35|SP|Sudeste|0|8|0|0|0|0|2|1|3|2|0|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15693|Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende|Fatec - Itapetininga|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3522307|Itapetininga|35|SP|Sudeste|0|19|0|0|0|0|2|4|4|6|2|0|0|0|1|0|0|0|1|0.00|261930909.00|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
19739|Faculdade de Tecnologia de Campinas|FATEC CAMPINAS|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3509502|Campinas|35|SP|Sudeste|0|9|0|0|0|0|0|1|3|1|0|1|0|1|2|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15704|Faculdade de Tecnologia de Capão Bonito|FATEC-CB|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3510203|Capão Bonito|35|SP|Sudeste|0|14|0|0|0|0|1|3|5|3|1|1|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15680|FATEC Cruzeiro - Prof. Waldomiro May||33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3513405|Cruzeiro|35|SP|Sudeste|0|11|0|0|0|0|0|2|1|4|2|2|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15752|Faculdade de Tecnologia de Guarulhos|FATEC GR|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3518800|Guarulhos|35|SP|Sudeste|0|13|0|0|0|0|2|3|2|2|2|0|1|0|0|1|1|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15687|Faculdade de Tecnologia de Pindamonhangaba|FATEC PI|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3538006|Pindamonhangaba|35|SP|Sudeste|0|16|0|0|0|0|1|1|7|2|0|0|1|2|1|1|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15745|Faculdade de Tecnologia de São Caetano do Sul|FATEC SCS|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3548807|São Caetano do Sul|35|SP|Sudeste|0|17|0|0|0|0|4|3|6|3|1|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15803|FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO|FATEC TATUÍ|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3554003|Tatuí|35|SP|Sudeste|0|16|0|0|0|0|2|1|4|5|4|0|0|0|0|0|1|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
17977|Faculdade de Tecnologia de Itaquera|FATEC ITAQUERA|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|11|0|0|0|0|2|0|7|1|1|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15585|Faculdade de Tecnologia Santo André|FATEC-SA|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3547809|Santo André|35|SP|Sudeste|0|11|2|0|1|0|1|2|1|3|1|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
19500|Faculdade de Tecnologia de São Carlos|FATEC São Carlo|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3548906|São Carlos|35|SP|Sudeste|0|6|0|0|0|0|0|0|0|0|3|1|0|0|2|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
19501|Faculdade de Tecnologia Sebrae|FATEC SEBRAE|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|8|0|0|0|0|1|0|4|0|0|0|0|2|0|1|0|1|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
15639|Faculdade de Tecnologia de Itaquaquecetuba|Fatec Itaqua|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|3|Faculdade|3523107|Itaquaquecetuba|35|SP|Sudeste|0|13|0|0|0|0|2|2|4|4|0|1|0|0|0|0|1|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
19862|Faculdade de Tecnologia de Bebedouro|FATEC Bebedouro|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|Pública Estadual|2|Centro Universitário|3506102|Bebedouro|35|SP|Sudeste|0|5|0|0|0|0|1|0|2|2|0|0|0|0|0|0|0|0|1|0.00|261930909.16|0.00|131121506.44|21004182.24|89962517.13|6544665.83|13298037.52|0.00|0.00
